código;Material/produto;Quantidade na embalagem;Classificação;Tipo;
; Amendoim moiso torrado;500G;Cozinha;Não empréstimo;
;Acetona ;50ML;Higiene;Não empréstimo;
;Açucar;500G;Cozinha;Não empréstimo;
;Açucar;1L;Cozinha;Não empréstimo;
;Açucar;2KG;Cozinha;Não empréstimo;
;Açucar;1KG;Cozinha;Não empréstimo;
;Açucar;5KG;Cozinha;Não empréstimo;
;Açucar;5KG;Cozinha;Não empréstimo;
;Açucar de confeiteito;500G;Cozinha;Não empréstimo;
;Agua desmineralizada;5L;Limpeza ;Não empréstimo;
;Agua facial;500ML;Higiene;Não empréstimo;
;Agua oxigenada;1L;Higiene;Não empréstimo;
;Agua oxigenada;1;Limpeza ;Não empréstimo;
;Agua oxigenada;1;Limpeza ;Não empréstimo;
;Agua oxigenada;1;Limpeza ;Não empréstimo;
;Agua oxigenada;1;Limpeza ;Não empréstimo;
;Agua sanitaria ;1L;Limpeza ;Não empréstimo;
;Agua sanitaria ;5L;Limpeza ;Não empréstimo;
;Agua sanitaria ;5L;Limpeza ;Não empréstimo;
;Agua sanitaria ;5L;Limpeza ;Não empréstimo;
;Agua sanitaria ;2L;Limpeza ;Não empréstimo;
;Alcol gel ;2,5L;Higiene;Não empréstimo;
;Alcool etilico;5L;Higiene;Não empréstimo;
;Alcool gel;30G;Higiene;Não empréstimo;
;Alcool gel;4,450L;Higiene;Não empréstimo;
;Alcool gel;5L;Higiene;Não empréstimo;
;Alcool gel;1L;Higiene;Não empréstimo;
;Algodão;100;Higiene;Não empréstimo;
;Algodão;500G;Higiene;Não empréstimo;
;Alho desidratado;500G;Cozinha;Não empréstimo;
;Alho triturado;1KG;Cozinha;Não empréstimo;
;Alicate de cuticula;1;Higiene;Não empréstimo;
;Amendoim moído;500G;Cozinha;Não empréstimo;
;Amolecedor de cuticulas;100ML;Higiene;Não empréstimo;
;Apresuntado;694G;Cozinha;Não empréstimo;
;Apresuntado;3,5KG;Cozinha;Não empréstimo;
;Argila;1KG;N.C;Não empréstimo;
;Arroz;1KG;Cozinha;Não empréstimo;
;Arroz;5KG;Cozinha;Não empréstimo;
;Azeite de dende;900ML;Cozinha;Não empréstimo;
;Azeitona;800G;Cozinha;Não empréstimo;
;Azeitona preta;3,5kG;Cozinha;Não empréstimo;
;Azeitona verde;3,2KG;Cozinha;Não empréstimo;
;Baby liss;1;N.C;Não empréstimo;
;Bacalhau;500G;Cozinha;Não empréstimo;
;Balde ;1;Limpeza ;Empréstimo;
;Baude;1;Limpeza ;Não empréstimo;
;Baude;1;Limpeza ;Não empréstimo;
;Biscoito maizena;200G;Cozinha;Não empréstimo;
;Biscoito maria;185G;Cozinha;Não empréstimo;
;Biscoito moido;1KG;Cozinha;Não empréstimo;
;Bisturi;1;Higiene;Não empréstimo;
;Bom bril;45G;Limpeza ;Não empréstimo;
;Bom bril;60G;Limpeza ;Não empréstimo;
;Borrifador;1;Higiene;Não empréstimo;
;Cabeça de treino;1;N.C;Não empréstimo;
;Cachaça 51;956ML;Cozinha;Não empréstimo;
;Caixa de clips;100;Escritório ;Não empréstimo;
;Caixa de grampos;500;Escritório ;Não empréstimo;
;Caixa de luva;20;Higiene;Não empréstimo;
;Caixa de mascara;50;Higiene;Não empréstimo;
;Caldo de carne;1KG;Cozinha;Não empréstimo;
;Caldo de galinha;1KG;Cozinha;Não empréstimo;
;Calorifico;500G;Cozinha;Não empréstimo;
;Carne moida;500G;Cozinha;Não empréstimo;
;Carrinho de mão;1;Manutenção;Não empréstimo;
;Cela depilatoria;24;Higiene;Não empréstimo;
;Cera depilatoria;100G;Higiene;Não empréstimo;
;Cera depilatoria;150G;Higiene;Não empréstimo;
;Cera liquida;300ML;Higiene;Não empréstimo;
;Chá mate;240G;Cozinha;Não empréstimo;
;Chocolate nobre;2.1KG;Cozinha;Não empréstimo;
;Cola higienica;1ROLO;Higiene;Não empréstimo;
;Cola para cilios;5G;Higiene;Não empréstimo;
;Compressa de gaze;500;Escritório ;Não empréstimo;
;Condicionador;5L;Higiene;Não empréstimo;
;Condicionador;5L;Higiene;Não empréstimo;
;Conhaque;900ML;Cozinha;Não empréstimo;
;Copo descartavel;100;Cozinha;Não empréstimo;
;Copo descartavel;100;Escritório ;Não empréstimo;
;Corretivo;1;Escritório ;Não empréstimo;
;Creme alisante;126G;Higiene;Não empréstimo;
;Creme amolecedor de cuticula;240G;Higiene;Não empréstimo;
;Creme de coloração;60G;Higiene;Não empréstimo;
;Creme de leite(culinario);1KG;Cozinha;Não empréstimo;
;Creme esfoliante;650G;Higiene;Não empréstimo;
;Creme hidratante para pes;240G;Higiene;Não empréstimo;
;Creme para drenagem facial;250ML;Higiene;Não empréstimo;
;Creme para pentear;900ML;Higiene;Não empréstimo;
;Creme para pentear;300ML;Higiene;Não empréstimo;
;Creme pre barba;300G;Higiene;Não empréstimo;
;Curativo;1;Escritório ;Não empréstimo;
;Desengordurante;500ML;Limpeza ;Não empréstimo;
;Desinfetante;5L;Limpeza ;Não empréstimo;
;Desinfetante;5L;Limpeza ;Não empréstimo;
;Desinfetante;2L;Limpeza ;Não empréstimo;
;Desinfetante ;2L;Limpeza ;Não empréstimo;
;Desinfetante ;400ML;Limpeza ;Não empréstimo;
;Desinfetante ;5L;Limpeza ;Não empréstimo;
;Desinfetante ;5L;Limpeza ;Não empréstimo;
;Detergente;500ML;Limpeza ;Não empréstimo;
;Detergente;5ML;Limpeza ;Não empréstimo;
;Detergente;500ML;Limpeza ;Não empréstimo;
;Difusor;1;Escritório ;Não empréstimo;
;Durex Colorido;1;Escritório ;Não empréstimo;
;Envelope de mechas;50;Higiene;Não empréstimo;
;Enxaguante;5;Higiene;Não empréstimo;
;Escada;1;Manutenção;Não empréstimo;
;Escouva de lavar roupa;1;Limpeza ;Não empréstimo;
;Escova;1;Limpeza ;Não empréstimo;
;Esfoliante;500G;Higiene;Não empréstimo;
;Esmalte;8ML;Higiene;Não empréstimo;
;Espatula para depilação;25;Higiene;Não empréstimo;
;Espatula para manicure;1;Higiene;Não empréstimo;
;Esponja multiuso ;6;Limpeza ;Não empréstimo;
;Espuma para manchas;40;Escritório ;Não empréstimo;
;Espuma para manchas;20;Escritório ;Não empréstimo;
;Eucalipto;500G;Cozinha;Não empréstimo;
;Extrato de tomate;1KG;Cozinha;Não empréstimo;
;Farinha de trigo;1KG;Cozinha;Não empréstimo;
;Farinha de trigo;5KG;Cozinha;Não empréstimo;
;Farinha de trigo com fermento;1KG;Cozinha;Não empréstimo;
;Feijão ;1KG;Cozinha;Não empréstimo;
;Feijão branco;500G;Cozinha;Não empréstimo;
;Feijão branco;500G;Cozinha;Não empréstimo;
;Feijão frodinho;500G;Cozinha;Não empréstimo;
;File de peito de frango;1KG;Cozinha;Não empréstimo;
;Fio de nilon;5M;Manutenção;Não empréstimo;
;Fita adesiva;1;Manutenção;Não empréstimo;
;Floral;5L;Limpeza ;Não empréstimo;
;Folhas para depilacão;16F;Higiene;Não empréstimo;
;Gasolina;5L;Manutenção;Não empréstimo;
;Gel fixador;1KG;Higiene;Não empréstimo;
;Gel para barba;750G;Higiene;Não empréstimo;
;Gel para barbear;300G;Higiene;Não empréstimo;
;Gelatina sem sabor;500G;Cozinha;Não empréstimo;
;Guardanapo;100U;Cozinha;Não empréstimo;
;Hidratante corpo e rosto;190ML;Higiene;Não empréstimo;
;Kit cilios;6;Higiene;Não empréstimo;
;Kit conterização;1;Escritório ;Não empréstimo;
;Kit descolorante banho de lua;5;Higiene;Não empréstimo;
